药物类别,分类,化学名称,商品名称,单位,适应症,禁忌症
,渗透利尿剂,甘露醇,六己醇；木蜜醇；甘露糖醇；己木醇,注射液：10g（50ml），20g（100ml），50g（250ml）。,脑水肿、眼内高压、预防急性肾小管坏死和鉴别肾前性因素或急性肾功能衰竭引起的少尿。作为辅助性利尿药治疗肾病综合征、肝硬化腹腹水，可促进某些逾量或中毒药物的排泄并防止肾毒性。作为冲洗剂，用于经尿道内做前列腺切除术。亦用于术前肠道准备。各种类型青光眼，特别是急性闭角型青光眼、内眼手术前降眼压，以及内眼手术后前房形成迟缓或不全者。甘露醇一般容易耐受，很快经肾脏排泄，但不参与代谢，可用于糖尿病患者。,"1.年龄大，眼压不太高，尽量避免使用甘露醇。
2.心功能不全患者禁用。
3.脱水、酸中毒、活动性颅内出血患者禁用。
4.对甘露醇过敏者、孕妇禁用。
5.肾性无尿、肾液、充血性心衰、肺充血或肺水肿、颅内出血、严重脱水者及进行性肾功能衰竭患者禁用。"
β阻滞剂,,比索洛尔,"康可；康心；富马酸比索洛尔；博苏
",片剂:5mg，10mg。,高血压，可单独使用或与其他抗高血压药合用、充血性心力衰竭。,比索洛尔过敏者、心源性休克、低血压、明显的心功能衰竭、Ⅱ或Ⅲ度房室传导阻滞、病态窦房结综合综合征、明显的窦性心动过缓和支气管哮喘者禁用。
,,美托洛尔,美多心安；美多洛尔；倍他乐克；甲氧乙心安；素可丁；酒石酸美托洛尔；美他新,"1.片剂：每片50mg，100mg；
2.胶囊：50mg；
3.缓释片剂：100mg，200mg；
4.注射剂：5mg。",主要用于轻、中度原发性高血压；也用于劳力性心绞痛、心肌梗死后的Ⅱ级预防、心律失常等。,心率低于每分钟45次、Ⅱ～Ⅲ度房室传导阻滞、PR间期大于或等于0.24秒、收缩压低于13.33kPa、中到重度心力衰竭
,,美托洛尔,美多心安；美多洛尔；倍他乐克；甲氧乙心安；素可丁；酒石酸美托洛尔；美他新,"1.片剂：每片50mg，100mg；
2.胶囊：50mg；
3.缓释片剂：100mg，200mg；
4.注射剂：5mg。
","

主要用于轻、中度原发性高血压；也用于劳力性心绞痛、心肌梗死后的Ⅱ级预防、心律失常等。",心率低于每分钟45次、Ⅱ～Ⅲ度房室传导阻滞、PR间期大于或等于0.24秒、收缩压低于13.33kPa、中到重度心力衰竭。
,,阿替洛尔,氨酰心安；天诺敏；阿坦乐尔；苯氧胺；速降血压灵；阿替洛尔－竹林－安特；氨酰心胺,"1.滴眼剂：1%～4%；
2.片剂：25mg，50mg，100mg","1.高血压。阿替洛尔作为第一线抗高血压药，可单用或与其他药物（如利尿药和血管扩张药）联合应用。
2.心绞痛。
3.心肌梗死。
4.心律失常。用于纠正室上性心律失常、室性心律失常、洋地黄及儿茶酚胺引起的快速心律失常。
5.甲状腺功能亢进。
6.嗜铬细胞瘤。
7.阿替洛尔滴眼液用于开角型青光眼及其他药物治疗无效的闭角型青光眼、新生血管性青光眼和睫状环阻滞性青光眼（恶性青光眼）等。","1.支气管哮喘。
2.心源性休克。
3.Ⅱ至Ⅲ度房室传导阻滞。
4.重度心力衰竭。
5.窦性心动过缓。
6.孕妇禁用。"
,,普萘洛尔 ,心得安；萘心安；恩得来；萘氧丙醇胺；普奈洛尔；奈心安,"1.片剂：每片10mg；
2.注射剂：5mg（5ml），1mg（1ml）。
3.阴道用片剂：每片80mg。",用于各型原发性高血压及肾性高血压，均有良效，对功能亢进型高血压、合并冠状动脉粥样硬化性心脏病、脑血管病或心律失常的原发性高血压均适用。用于多种原因所致的心率失常、心绞痛；也用于原发性震颤。,"1.禁用于哮喘及过敏性鼻炎患者。
2.忌用于窦性心动过缓、重度房室传导阻滞、病态窦房结综合综合征、支气管哮喘、心源性休克、低血压患者。充血性心力衰竭的患者，须等心衰得到控制后方可用普萘洛尔。
3.有增加洋地黄毒性的作用，对已洋地黄化而心脏高度扩大、心率又不平稳的患者禁用。
"
,,倍他洛尔 ,贝特舒；倍美多心安；倍他索洛尔；倍他心安；卡尔仑；环丙甲氧心安；盐酸倍他洛尔,"1.滴眼液：0.25%，0.5%，1%；

2.片剂：20mg。
","1.倍他洛尔滴眼液用于开角型青光眼、手术后未完全控制的闭角型青光眼和高眼压症。

2.口服可用于高血压、可预防运动期间出现的心绞痛发作。
","1.严重窦性心动过缓。经治疗未能控制的心功能不全，心脏传导阻滞，心动过缓，严重的prinzmetal‘s心绞痛，低血压，严重的周围血管疾病，如雷诺氏现象。
2.房室传导阻滞。
3.心力衰竭。
4.用氟喹氨苯酯治疗者。
5.严重的哮喘和慢性阻塞性支气管肺疾病。
6.未经治疗的嗜铬细胞瘤性高血压。"
α受体阻滞剂,,酚妥拉明,利其丁；立其丁；酚胺唑啉；苄胺唑啉；甲苄胺唑啉；甲磺酸酚胺唑啉；瑞支亭；甲磺酸苄胺唑啉；甲基磺酸菲妥明,"1.片剂：每片25mg；

2.注射剂：1mg（1ml）。
","1.曾有报道，对急性心肌梗死、高血压并发的急性左侧心力衰竭，酚妥拉明有显效。但有的作者认为，酚妥拉明可增快心率和增加心肌收缩力，因而增加心肌耗氧量，对急性心肌梗死不利。
2.肺源性心脏病合并心力衰竭：应用酚妥拉明后，肺动脉平均压和肺血管阻力均明显下降，故可使病情缓解，症状减轻。
3.高血压危象：酚妥拉明静注对高血压危象常有良效，对嗜铬细胞瘤、单胺氧化化酶抑制剂引起的高血压危象疗效更为显著。
4.嗜铬细胞瘤的诊断试验：用酚妥拉明5mg静注，然后每30秒钟测一次血压，连续测10min，如在2～4min内血压降低4.67/3.33kPa（35/25mmHg）以上为阳性，提示嗜铬细胞瘤的存在。
5.再灌注性心律失常：心绞痛恢复后、急性心肌梗死溶栓治疗后出现的再灌注性心律失常酚妥拉酚妥拉明有时有良效。
6.控制嗜铬细胞瘤患者可能出现的高血压危象。预防在静脉或静脉旁输注去甲肾上腺上腺上腺素后偶然出现的皮肤坏死。","1.对酚妥拉明和有关化合物过敏，对亚硫酸酯过敏者。

2.低血压、严重动脉硬化、心绞痛、心肌梗死、胃及十二指肠溃疡者禁用。

3.肾功能不全者禁用。

4.儿童、高龄老年人禁用。
"
,,酚苄明,"苯氧苄胺；酚苄胺；氧苯苄胺；盐酸酚苄明；竹林胺
","1.片剂：每片10mg；

2.注射剂：100mg（2ml）。
",临床用于周围血管疾病，如肢端动脉痉挛症、手足发绀、冻疮、皮肤灼痛、间歇性跛行等及控制嗜铬细胞瘤引起的高血压；亦用于休克时改善微循环以及肺水肿等。,肾功能不全及脑血管病患者慎用。
,,哌唑嗪,降压新；脉宁平；脉哌新；扑压唑；哌唑静,片剂:0.5mg，1mg，2mg，5mg。,"1.适用于轻、中度高血压，尤其适用于高血压合并高脂血症，常作为第二线药物，在第一线药物治疗不满意时采用或与其他降压药合用。嗜铬细胞瘤患者手术前亦可用哌唑嗪控制血压。
2.用于充血性心力衰竭及心肌梗死后心力衰竭，对常规疗法（洋地黄、利尿剂）无效或效果不显著的心力衰竭也有效。
3.也可用于治疗麦角胺过量。",对哌唑嗪过敏者。
,,特拉唑嗪,四喃唑嗪；高特灵；降压宁；马沙尼；双水盐酸特拉唑嗪；盐酸四喃唑嗪,片剂或胶囊剂：1mg；2mg；5mg。,高血压、良性前列腺增生。,"1.对特拉唑嗪成分过敏者。

2.严重肝、肾功能不全患者，12岁以下儿童，孕妇和哺乳期妇女禁用。
"
血管紧张素转换酶抑制剂,,卡托普利,巯甲丙脯酸；甲巯丙脯酸；开搏通；开富林；普利博通；开托普利；刻甫定；甲丙酰膊；甲巯丙脯氨酸；圣瑞恩卡托普利,"1.片剂：每片12.5mg，25mg，50mg，100mg；
2.复方片剂：每片含卡托普利10mg，氢氯噻嗪6mg。
3.注射剂：25mg（1ml），50mg（2ml）。",轻、中度高血压，重症高血压（与利尿剂或β受体拮抗剂并用）；充血性心力衰竭。也用于急性心衰及顽固性慢性心衰和急性心肌梗死后的二级预防。,"1.肾功能不全、严重自身免疫性疾病患者禁用。
2.孕妇及哺乳期妇女、过敏体质者禁用。
3.中性白细胞减少、粒细胞缺乏症患者禁用。
4.禁用于双侧肾动脉狭窄或类似病变者、有低血压病史者、严重主动脉狭窄或梗阻性心肌病者。"
,,依那普利,苯丁脂脯酸；恩纳普利；苯脂丙脯酸；益压利；因弗尔；悦宁定；苯酯丙脯氨酸；马来酸依拉普利；马来酸依那普利,片剂：2.5mg，5mg，10mg，20mg。,对各期原发性高血压和肾性高血压均有效。 用于充血性心力衰竭。,单侧或双侧肾动脉狭窄及妊娠者（可致死胎）即往使用过发生血管神经性水肿者，血肌酐每天大于3mg者。
,,苯那普利,贝那普利；洛汀新；洛丁新；盐酸苯那普利；苯扎普利；盐酸贝那普利,片剂：每片5mg，10mg，20mg,用于各类高血压、充血性心力衰竭。 （用于中轻度高血压病的治疗，疗效与卡托普利、依那普利、硝苯地平、尼群地平、普奈洛尔等药物用常用量治疗时相同。治疗高血压病为二线药物。）,对苯那普利有过敏反应及有血管神经性水肿患者禁用。孕妇禁用，哺乳期妇女禁用。
,,地拉普利,压得克；地那普利,片剂：7.5mg；15mg；30mg,原发性高血原发性高血压、肾性高血压及肾血管性高血压。,对本制剂有过敏史及有血管紧张素转换酶抑制剂引起的血管神经性水肿史的患者禁用。
,,赖诺普利,苯丁赖脯酸；苯丁赖普酸；捷赐瑞；利压定；麦道欣心宁；利斯普利；利生普利；利辛普利；赖脯酸,片剂：2.5mg，5mg，10mg，20mg。,适用于治疗各种原发性高血压、继发性高血压病，尤其适用于伴有糖尿病、肾性高血压病、充血性心力衰竭患者的治疗。为抗高血压病的一线治疗药物。 并可用于治疗24hr内血流动力学稳定的急性心肌梗塞。,"1.对赖诺普利过敏、儿童、孕妇、哺乳期、主动脉瓣狭窄、肺源性心脏病、双侧肾动脉狭窄、血液或骨髓疾病的患者禁用。
2.因以往使用血管紧张素转化酶抑制剂而出现血管神经性水肿的病人。"
,,培哚普利,哌林多普利；哌哚普利；普吲哚酸；亚施达；达吲哚丙脯酸；雅施达,片剂:40mg（含培哚普利特丁胺盐4mg）。,用于原发性高血压，能改善血管结构提高弹性；亦用于慢性充血性心力衰竭和急性心肌梗死后二级预防。,过敏及有血管水肿患者、孕妇禁用。
血管紧张素II 受体拮抗剂,,氯沙坦,"科素亚 ,氯沙坦钾,氯沙坦, 芦沙坦, 洛沙坦",片剂 50mg x 7片。,高血压。,儿童，妊娠和哺乳妇女。
,,缬沙坦,代文；丙戊沙坦；脉欣,胶囊：80mg，160mg。,抗高血压、轻中度原发性高血压，尤其适用肾脏损害所致继发性高血压。,对该药过敏者、妊娠期及哺乳期妇女禁用。
,,伊贝沙坦,"厄贝沙坦片,苏适,伊贝沙坦","片剂:75mg,150mg, 300mg.

胶囊剂:50mg/粒.
",高血压病。,"对本品成分过敏者禁用。

·妊娠和哺乳期妇女禁用。
"
,,坎地沙坦,"坎地沙坦环己氧羰氧乙酯
",片剂：每片2mg、4mg、8mg、16mg。,高血压、心力衰竭,严重肝损害和胆汗淤滞病人、孕妇和哺乳期妇女禁用
,,替米沙坦,美卡素；泰米沙坦,"1.片剂：80mg；

2.胶囊：400mg。
",适用于Ⅰ期和Ⅱ期高血压。,对该药活性成分及任何一种赋形成分过敏者；妊娠及哺乳期妇女；胆道阻塞疾病；严重肝肾功能不全禁用。
,,依普沙坦,依普罗沙坦；替维坦；依普罗,片剂：200mg，400mg。,高血压，尤其是高血压伴肾功能障碍者。,无特殊禁忌。
中枢作用药物 ,"中枢兴奋药

 
",咖啡因,咖啡碱；无水咖啡因；甲基可可碱,"安纳咖（苯甲酸钠咖啡钠咖啡因）注射剂：每毫升含咖啡因0.12g、苯甲酸钠0.13g。

每支0.25g（1ml）；0.5g（2ml）。
","1.主要用于对抗急性感染中毒和乙醇、催眠药、麻醉药、麻醉性镇痛药中毒所引起的中枢性循环衰竭和呼吸衰竭。
2.防治未成熟初生儿呼吸暂停或阵发性呼吸困难。
3.与麦角胺合用治疗偏头痛，与乙酰水杨酸（阿司匹林、对乙酰氨基酚）制成复方制剂用于一般性头痛。
4.与溴化物合用，用于神经官能症，使大脑皮质的兴奋过程和抑制过程得到调节而恢复平衡。
",1.对咖啡因过敏者、哺乳者禁用。2.孕妇、婴幼儿、急性心肌梗死患者、溃疡者禁用。
,,尼可刹米,可拉明,针剂：每支0.25g（1ml），0.375g（1.5ml），0.5g（2ml）,"用于中枢性呼吸及循环衰竭、麻醉药、其他中枢抑制药的中毒急救。

用于呼吸抑制抢救，尼可刹米为最常用的呼吸兴奋剂，可用于各种原因引起的中枢性呼吸抑制，其中对吗啡类药物中毒所致呼吸抑制效果最好，对吸入全麻药中毒次之，对巴比妥药物中毒效果最差。对肺心病引起的呼吸衰竭有效。各种原因引起的慢性阻塞性肺疾患并伴有高碳酸血症等。
","1.孕妇、哺乳者、对尼可刹米过敏者、儿童以及急性卟啉症禁用。

2.小儿高热和无呼吸衰竭时禁用。

3.禁与巴比妥类、洋地黄类在同一溶液中给药，禁止与水解蛋白配伍。
"
,,回苏灵,二甲弗林,注射剂：每支8mg（2ml）。,"1.用于各种原因引起的中枢性呼吸衰竭，以及麻醉药、催眠药引起的呼吸抑制。

2.也可用于外伤、手术等引起的虚脱和休克。
","1.有惊厥病史、痉挛病史者；

2.肝肾功能不全者；

3.孕妇；

4.吗啡中毒者。
"
,镇静药与抗惊厥药,盐酸氯丙嗪,"冬眠灵;可乐静;氯普马嗪 ,美心 ,盐酸氯丙嗪","1.片剂：每片5mg、12.5mg、25mg。

2.注射液：每支10mg（1ml）、25mg（1ml）.
","1.治疗精神病：用于控制精神分裂症或其他精神病的兴奋骚动、紧张不安、幻觉、妄想等症状，对忧郁症状及木僵症状的疗效较差。

2.镇吐：几乎对各种原因引起的呕吐，如尿毒症、胃肠炎、癌症、妊娠及药物引起的呕吐均有效。也可用于治疗顽固性呃逆，但对晕动病呕吐无效。

3.低温麻醉及人工冬眠：用于低温麻醉时可防止休克发生。

4.与镇痛药合用，治疗癌症晚期病人的剧痛。

5.治疗心力衰竭。

6.试用于治疗巨人症。
",有过敏史、肝功能不良、尿毒症及高血压病人慎用，冠心病者尤应注意；肝功能严重减退、有癫痫病史者及昏迷的病人（特别是用中枢抑制药后）禁用
,,地西泮,安定；苯甲二氮唑；苯甲二氮卓；地西潘,"1.片剂：2.5mg，5mg；

2.注射剂：10mg（2ml）。
","1.用于焦虑症及伴随焦虑的抑郁症。
2.镇静催眠：用于治疗失眠。
3.抗癫痫、抗惊厥：静脉注射为治疗癫痫持续状态的首选药物，但同时须用其他抗癫痫药巩固与维持；对破伤风阵发性惊厥也有效。
4.中枢性肌肉松弛作用：
可缓解：（1）局部肌肉或关节的炎症所引起的反射性肌肉痉挛；（2）上运动神经元病变、手足徐动症和僵人综合征的肌肉痉挛；（3）颞颌关节病变引起的面肌痉挛。
5.还可用于麻醉前给药、紧张性头痛、恐怖性焦虑障碍、酒精依赖性戒酒综合征、老年人帕金森病及特发性震颤等。
6.曾试用于室性心律失常（静注10～20mg），约2分钟后即使室性异位搏动和颤动恢复为窦性心律。
","1.对地西泮过敏者。

2.急性闭角性青光眼。

3.重症肌无力患者。

4.30天以内婴儿。
"
,,苯巴比妥钠,"迦地那;鲁米那,苯巴比妥,苯巴比妥钠, 鲁米那钠
","片剂：每片0.01g、0.015g、0.03g、0.1g。

注射用苯巴比妥钠：每支0.1g。
","1.镇静：如焦虑不安、烦躁、甲状腺功能亢进、高血压、功能性恶心、小儿幽门痉挛等症。
2.催眠：偶用于顽固性失眠症，但醒后往往有疲倦、思睡等后遗效应。
3.抗惊厥：常用其对抗中枢兴奋药中毒或高热、破伤风、脑炎、脑出血等疾病引起的惊厥。
4.抗癫痫：用于癫痫大发作的防治，作用出现快，也可用于癫痫持续状态。
5.麻醉前给药。
6.与解热镇痛药配伍应用，以增强其作用。
7.治疗新生儿核黄疸。
",对严重肺功能不全（如肺气肿）、支气管哮喘及颅脑损伤呼吸中枢受抑制者慎用或禁用；肝肾功能不良者慎用，肝硬变或肝功能严重障碍者禁用。
